File Name,Color Index,Red,Green,Blue,Max Proportion,HEX,PCCS
데이지크_쥬시듀이틴트_칠리셔벗.png,1,231,88,79,88.46%,#e7584f,R
데이지크_쥬시듀이틴트_코랄피즈.png,1,249,100,96,100.00%,#f96460,
데이지크_쥬시듀이틴트_파파야밀크.png,1,240,134,129,100.00%,#f08681,
데이지크_쥬시듀이틴트_플럼듀.png,1,222,25,80,84.26%,#de1950,
데이지크_쥬시듀이틴트_피그베리.png,1,236,94,105,82.48%,#ec5e69,R
데이지크_쥬시듀이틴트_피그플럼.png,1,194,91,122,100.00%,#c25b7a,RPB
데이지크_쥬시듀이틴트_피치크러쉬.png,1,250,75,90,99.90%,#fa4b5a,
데이지크_쥬시듀이틴트_피치푸딩.png,1,238,123,128,100.00%,#ee7b80,
데이지크_쥬시듀이틴트_핑크구아바.png,1,248,86,123,94.18%,#f8567b,
데이지크_크림드버터틴트_모브크림.png,1,215,120,125,100.00%,#d7787d,RPB
데이지크_크림드버터틴트_솔티드버터.png,1,208,110,104,96.58%,#d06e68,RPB
데이지크_크림드버터틴트_카라멜브릭.png,1,179,86,73,76.74%,#b35649,
데이지크_크림드버터틴트_코튼플럼.png,1,192,88,99,100.00%,#c05863,RPB
데이지크_프루티립잼_감귤잼.png,1,217,89,79,75.60%,#d9594f,
데이지크_프루티립잼_딸기잼.png,1,235,105,137,89.33%,#eb6989,RPB
데이지크_프루티립잼_라즈베리잼.png,1,236,113,129,100.00%,#ec7181,
데이지크_프루티립잼_리치잼.png,1,175,94,105,64.12%,#af5e69,PB
데이지크_프루티립잼_무화과잼.png,1,198,91,99,100.00%,#c65b63,RPB
데이지크_프루티립잼_복숭아잼.png,1,240,158,156,75.50%,#f09e9c,RP
데이지크_프루티립잼_애프리콧잼.png,1,240,159,135,99.84%,#f09f87,
데이지크_프루티립잼_애플잼.png,1,218,55,69,99.98%,#da3745,
데이지크_프루티립잼_자두잼.png,1,232,77,123,94.68%,#e84d7b,RPB
데이지크_프루티립잼_쥬쥬브잼.png,1,172,102,99,100.00%,#ac6663,
데이지크_프루티립잼_체리잼.png,1,233,75,97,100.00%,#e94b61,RPB
데이지크_프루티립잼_캐슈넛잼.png,1,179,119,104,95.54%,#b37768,PB
데이지크_프루티립잼_크랜베리잼.png,1,132,66,65,65.62%,#844241,
딘토_브론테멜팅글로우립밤_곤달.png,1,200,72,71,100.00%,#c84847,
딘토_브론테멜팅글로우립밤_브랜웰.png,1,176,106,108,100.00%,#b06a6c,PB
딘토_브론테멜팅글로우립밤_빌레트.png,1,229,123,109,100.00%,#e57b6d,RPB
딘토_브론테멜팅글로우립밤_샬롯.png,1,219,138,144,100.00%,#db8a90,RPB
딘토_브론테멜팅글로우립밤_아그네스그레이.png,1,199,110,116,100.00%,#c76e74,RPB
딘토_브론테멜팅글로우립밤_앙그리아.png,1,171,108,116,100.00%,#ab6c74,PB
딘토_브론테멜팅글로우립밤_앤.png,1,175,87,99,100.00%,#af5763,
딘토_브론테멜팅글로우립밤_에밀리.png,1,231,126,123,100.00%,#e77e7b,RPB
딘토_브론테멜팅글로우립밤_워더링하이츠.png,1,193,67,79,100.00%,#c1434f,
딘토_블러글로이립틴트_그라티아.png,1,208,85,88,100.00%,#d05558,
딘토_블러글로이립틴트_노빌리타스.png,1,234,159,153,100.00%,#ea9f99,RP
딘토_블러글로이립틴트_데오볼렌테.png,1,126,52,79,100.00%,#7e344f,
딘토_블러글로이립틴트_디비니타스.png,1,177,77,89,100.00%,#b14d59,
딘토_블러글로이립틴트_레베렌티아.png,1,215,103,99,100.00%,#d76763,RPB
딘토_블러글로이립틴트_리베르타스.png,1,177,115,104,100.00%,#b17368,PB
딘토_블러글로이립틴트_메멘토모리.png,1,147,51,53,100.00%,#933335,
딘토_블러글로이립틴트_모데스티아.png,1,152,102,101,100.00%,#986665,PB
딘토_블러글로이립틴트_무니아.png,1,189,76,94,100.00%,#bd4c5e,
딘토_블러글로이립틴트_베누스.png,1,241,151,140,100.00%,#f1978c,
딘토_블러글로이립틴트_베니아.png,1,183,107,120,100.00%,#b76b78,
딘토_블러글로이립틴트_보눔.png,1,202,0,60,100.00%,#ca003c,
딘토_블러글로이립틴트_소피아.png,1,207,125,101,100.00%,#cf7d65,RPB
딘토_블러글로이립틴트_아베마리아.png,1,198,132,144,100.00%,#c68490,RPB
딘토_블러글로이립틴트_유스티티아.png,1,252,145,163,100.00%,#fc91a3,
딘토_블러글로이립틴트_코르.png,1,240,132,106,100.00%,#f0846a,R
딘토_블러글로이립틴트_팍스.png,1,213,57,128,100.00%,#d53980,RPB
딘토_블러글로이립틴트_팍스로마나.png,1,200,128,132,100.00%,#c88084,RPB
딘토_블러글로이립틴트_피데스.png,1,176,67,70,100.00%,#b04346,
딘토_블러글로이립틴트_피덴티아.png,1,202,80,95,100.00%,#ca505f,
라카_본딩글로우립스틱_뎁스.png,1,147,51,59,100.00%,#93333b,
라카_본딩글로우립스틱_리리.png,1,230,125,141,100.00%,#e67d8d,RPB
라카_본딩글로우립스틱_마크.png,1,205,105,94,53.14%,#cd695e,
라카_본딩글로우립스틱_멀드.png,1,214,111,91,99.91%,#d66f5b,
라카_본딩글로우립스틱_미로.png,1,186,96,98,60.63%,#ba6062,
라카_본딩글로우립스틱_포쉬.png,1,144,30,25,100.00%,#901e19,
라카_젤링누드글로스_복숭아링.png,1,200,103,108,82.93%,#c8676c,RPB
